Pack Date,Planning Year,Mix Product Name,Component Crop Name,Component Percent,Component Quantity,Component Unit,Variety Request,Safety Factor,Harvest Date,Notes,Component Source Type
2025-06-11,2025,Salad Mix,Greens Mix Baby Kale,0.5,0.1,,,1.1,2025-06-10,,crop
2025-06-11,2025,Salad Mix,Lettuce Mix SN,44.5,6.7,,,1.1,2025-06-10,,crop
2025-06-11,2025,Salad Mix,Greens Mix Mizuna,0.5,0.1,,,1.1,2025-06-10,,crop
2025-06-11,2025,Salad Mix,Greens Mix Rosie,0.5,0.1,,,1.1,2025-06-10,,crop
2025-06-11,2025,Salad Mix,Greens Mix Purslane,0.5,0.1,,,1.1,2025-06-10,,crop
2025-06-11,2025,Salad Mix,Lettuce Mini Gem,20,3,,,1.1,2025-06-10,,crop
2025-06-11,2025,Salad Mix,Greens Mix Tokyo Bekana,0.5,0.1,,,1.1,2025-06-10,,crop
2025-06-11,2025,Salad Mix,Frisee,13,2,,,1.1,2025-06-10,,crop
2025-06-13,2025,Salad Mix,Greens Mix Cheap Frills,20,13.4,,,1.1,2025-06-12,,crop
2025-06-13,2025,Salad Mix,Greens Mix Baby Kale,0.5,0.3,,,1.1,2025-06-12,,crop
2025-06-13,2025,Salad Mix,Lettuce Mix SN,50,33.4,,,1.1,2025-06-12,,crop
2025-06-13,2025,Salad Mix,Greens Mix Mizuna,0.5,0.3,,,1.1,2025-06-12,,crop
2025-06-13,2025,Salad Mix,Greens Mix Rosie,0.5,0.3,,,1.1,2025-06-12,,crop
2025-06-13,2025,Salad Mix,Greens Mix Purslane,0.5,0.3,,,1.1,2025-06-12,,crop
2025-06-13,2025,Salad Mix,Lettuce Mini Gem,19,12.7,,,1.1,2025-06-12,,crop
2025-06-13,2025,Salad Mix,Greens Mix Tokyo Bekana,0.5,0.3,,,1.1,2025-06-12,,crop
2025-06-13,2025,Salad Mix,Frisee,8.5,5.7,,,1.1,2025-06-12,,crop
2025-06-18,2025,Salad Mix,Lettuce Mix SN,50,7.7,,,1.1,2025-06-17,,crop
2025-06-18,2025,Salad Mix,Lettuce Mini Gem,20,3.1,,,1.1,2025-06-17,,crop
2025-06-18,2025,Salad Mix,Greens Mix Cheap Frills,10,1.5,,,1.1,2025-06-17,,crop
2025-06-18,2025,Salad Mix,Frisee,18,2.8,,,1.1,2025-06-17,,crop
2025-06-18,2025,Salad Mix,Radicchio Variegated,2,0.3,,,1.1,2025-06-17,,crop
2025-06-21,2025,Salad Mix,Lettuce Mix SN,50,39.5,,,1.1,2025-06-19,,crop
2025-06-21,2025,Salad Mix,Lettuce Mini Gem,20,15.8,,,1.1,2025-06-19,,crop
2025-06-21,2025,Salad Mix,Greens Mix Cheap Frills,10,7.9,,,1.1,2025-06-19,,crop
2025-06-21,2025,Salad Mix,Frisee,18,14.2,,,1.1,2025-06-19,,crop
2025-06-21,2025,Salad Mix,Radicchio Variegated,1,0.8,,,1.1,2025-06-19,,crop
2025-06-21,2025,Salad Mix,Greens Mix Amaranth,1,0.8,,beet greens,1.1,2025-06-19,,crop
2025-06-25,2025,Salad Mix,Lettuce Mix SN,45,6.4,,,1.1,2025-06-24,,crop
2025-06-25,2025,Salad Mix,Lettuce Mini Gem,20,2.9,,,1.1,2025-06-24,,crop
2025-06-25,2025,Salad Mix,Greens Mix Cheap Frills,5,0.7,,,1.1,2025-06-24,,crop
2025-06-25,2025,Salad Mix,Frisee,20,2.9,,,1.1,2025-06-24,,crop
2025-06-25,2025,Salad Mix,Radicchio Variegated,10,1.4,,,1.1,2025-06-24,,crop
2025-06-28,2025,Salad Mix,Lettuce Mix SN,45,46.2,,,1.1,2025-06-26,,crop
2025-06-28,2025,Salad Mix,Lettuce Mini Gem,19,19.5,,,1.1,2025-06-26,,crop
2025-06-28,2025,Salad Mix,Greens Mix Cheap Frills,8,8.2,,,1.1,2025-06-26,,crop
2025-06-28,2025,Salad Mix,Frisee,15,15.4,,,1.1,2025-06-26,,crop
2025-06-28,2025,Salad Mix,Radicchio Variegated,10,10.3,,,1.1,2025-06-26,,crop
2025-06-28,2025,Salad Mix,Greens Mix Amaranth,3,3.1,,,1.1,2025-06-26,,crop
2025-07-02,2025,Salad Mix,Lettuce Mix SN,50,8.6,,,1.1,2025-07-01,,crop
2025-07-02,2025,Salad Mix,Lettuce Mini Gem,20,3.5,,,1.1,2025-07-01,,crop
2025-07-02,2025,Salad Mix,Frisee,15,2.6,,,1.1,2025-07-01,,crop
2025-07-02,2025,Salad Mix,Radicchio Variegated,7,1.2,,,1.1,2025-07-01,,crop
