Crop,Variety,Block,Bed Start,Bed End,Planned Plant Date,Planned Bedfeet,Status
Arugula,Astro,HT2,3,3,2026-02-16,50,Planned
Greens Mix Baby Kale,Red Russian Kale,HT2,4,4,2026-02-16,50,Planned
Greens Mix Cheap Frills,Cheap Frills,HT2,3,3,2026-02-16,50,Planned
Greens Mix Cheap Frills,Cheap Frills,HT2,4,4,2026-02-23,50,Planned
Greens Mix Baby Kale,Red Russian Kale,CAT2,3,3,2026-03-02,100,Planned
Radish French Breakfast,French Breakfast,CAT2,2,2,2026-03-02,100,Planned
Radish Purple,Bacchus,CAT2,1,1,2026-03-02,100,Planned
Greens Mix Cheap Frills,Cheap Frills,CAT3,3,3,2026-03-02,100,Planned
Garlic,German White,B3,29,29,2026-03-16,200,Planned
Garlic,German White,B3,30,30,2026-03-16,200,Planned
Garlic,Hardneck - Em,B3,28,28,2026-03-16,100,Planned
Garlic,Hardneck - Em,B3,28,28,2026-03-16,100,Planned
Garlic,Music,B3,26,26,2026-03-16,200,Planned
Garlic,Music,B3,27,27,2026-03-16,200,Planned
Garlic,Softneck - Em,B3,25,25,2026-03-16,200,Planned
Pea Snap,Sweet Gem,CAT4,1,1,2026-03-16,100,Planned
Pea Snap,Sweet Gem,CAT4,2,2,2026-03-16,100,Planned
Pea Snap,Sweet Gem,CAT4,3,3,2026-03-16,100,Planned
Pea Shelling,PLS595,HT4,1,1,2026-03-16,100,Planned
Pea Shelling,PLS595,HT4,2,2,2026-03-16,100,Planned
Pea Snap,Super Sugar Snap,JSS,1,1,2026-03-16,100,Planned
Pea Snap,Super Sugar Snap,JSS,2,2,2026-03-16,100,Planned
Pea Snap,Super Sugar Snap,JSS,3,3,2026-03-16,100,Planned
Arugula,Astro,B1,1,1,2026-03-30,100,Planned
Frisee,Curlesi,B1,2,2,2026-03-30,75,Planned
Greens Mix Baby Kale,Red Russian Kale,B1,3,3,2026-03-30,15,Planned
Greens Mix Cheap Frills,Cheap Frills,B1,3,3,2026-03-30,85,Planned
Lettuce Head,Alkindus,B1,4,4,2026-03-30,50,Planned
Lettuce Mini Gem,Gatsbi,B1,4,4,2026-03-30,50,Planned
Lettuce Mini Gem,Rosaine,B1,5,5,2026-03-30,100,Planned
Lettuce Mix SN,(Spring/Fall) Prismatic + Butters,B1,6,6,2026-03-30,100,Planned
Lettuce Mix SN,(Spring/Fall) Prismatic + Butters,B1,7,7,2026-03-30,100,Planned
Radish French Breakfast,French Breakfast,B1,8,8,2026-03-30,100,Planned
Radish Purple,Bacchus,B1,9,9,2026-03-30,100,Planned
Radish Red,Sora,B1,10,10,2026-03-30,100,Planned
Arugula,Astro,B1,11,11,2026-04-06,100,Planned
Greens Mix Baby Kale,Red Russian Kale,B1,12,12,2026-04-06,15,Planned
Greens Mix Cheap Frills,Cheap Frills,B1,12,12,2026-04-06,85,Planned
Radish French Breakfast,French Breakfast,B1,13,13,2026-04-06,100,Planned
Radish Purple,Bacchus,B1,14,14,2026-04-06,100,Planned
Radish Red,Sora,B1,15,15,2026-04-06,100,Planned
Cilantro,Cruiser,C3,1,1,2026-04-06,200,Planned
Scallion,Parade,C3,2,2,2026-04-06,200,Planned
Arugula,Astro,B1,16,16,2026-04-13,100,Planned
Bok Choy,Li Ren Choi,B1,17,17,2026-04-13,100,Planned
Bok Choy,Li Ren Choi,B1,18,18,2026-04-13,100,Planned
Greens Mix Baby Kale,Red Russian Kale,B1,19,19,2026-04-13,15,Planned
Greens Mix Cheap Frills,Cheap Frills,B1,19,19,2026-04-13,85,Planned
Radish French Breakfast,French Breakfast,B1,20,20,2026-04-13,100,Planned
Radish Purple,Bacchus,B1,21,21,2026-04-13,100,Planned
Radish Red,Sora,B1,22,22,2026-04-13,100,Planned
Dandelion,Clio,B2,1,1,2026-04-13,100,Planned
Escarole,Eros,B2,2,2,2026-04-13,100,Planned
Fennel,Orazio,B2,3,3,2026-04-13,200,Planned
Lettuce Head,Alkindus,B2,4,4,2026-04-13,50,Planned
Lettuce Mini Gem,Gatsbi,B2,4,4,2026-04-13,75,Planned
Lettuce Mini Gem,Rosaine,B2,4,4,2026-04-13,75,Planned
Lettuce Mix SN,(Spring/Fall) Prismatic + Butters,B2,5,5,2026-04-13,200,Planned
Radicchio Round,Indigo,B2,6,6,2026-04-13,200,Planned
Radicchio Variegated,Giorgine,B2,7,7,2026-04-13,200,Planned
Zucchini Green,Noche,C1,1,1,2026-04-13,200,Planned
Zucchini Green,Noche,C1,2,2,2026-04-13,200,Planned
Parsley,Giant of Italy,C3,3,3,2026-04-13,200,Planned
Scallion,Parade,C3,4,4,2026-04-13,100,Planned
Chard,Bright Lights,D3,1,1,2026-04-13,200,Planned
Collards,Flash,D3,2,2,2026-04-13,200,Planned
Kale Curly,Winterbor,D3,3,3,2026-04-13,200,Planned
Kale Curly,Winterbor,D3,4,4,2026-04-13,200,Planned
Kale Lacinato,Ebony,D3,5,5,2026-04-13,200,Planned
Kale Lacinato,Ebony,D3,6,6,2026-04-13,200,Planned
Kale Lacinato,Ebony,D3,7,7,2026-04-13,200,Planned
Kale Lacinato,Ebony,D3,8,8,2026-04-13,200,Planned
Broccolini,BC1611,E2,1,1,2026-04-13,200,Planned
Broccolini,BC1611,E2,2,2,2026-04-13,200,Planned
Broccolini,BC1611,E2,3,3,2026-04-13,200,Planned
Arugula,Astro,B1,23,23,2026-04-20,100,Planned
Frisee,Curlesi,B1,28,28,2026-04-20,100,Planned
Greens Mix Baby Kale,Red Russian Kale,B1,24,24,2026-04-20,15,Planned
Greens Mix Cheap Frills,Cheap Frills,B1,24,24,2026-04-20,85,Planned
Radish French Breakfast,French Breakfast,B1,25,25,2026-04-20,100,Planned
Radish Purple,Bacchus,B1,26,26,2026-04-20,100,Planned
Radish Red,Sora,B1,27,27,2026-04-20,100,Planned
Lettuce Mix SN,(Spring/Fall) Prismatic + Butters,B2,8,8,2026-04-20,200,Planned
Zucchini Green,Noche,C1,3,3,2026-04-20,200,Planned
Zucchini Green,Noche,C1,4,4,2026-04-20,200,Planned
Zucchini Green,Noche,C1,5,5,2026-04-20,200,Planned
Zucchini Green,Noche,C1,6,6,2026-04-20,200,Planned
Zucchini Striped,Pantheon,C1,7,7,2026-04-20,200,Planned
Zucchini Striped,Pantheon,C1,8,8,2026-04-20,200,Planned
Zucchini Yellow,Golden Glory,C1,9,9,2026-04-20,200,Planned
Zucchini Yellow,Golden Glory,C1,10,10,2026-04-20,200,Planned
Scallion,Parade,C3,4,4,2026-04-20,100,Planned
Cabbage Chinese,Minuet,E2,4,4,2026-04-20,200,Planned
Cabbage Chinese,Minuet,E2,5,5,2026-04-20,200,Planned
Cabbage Savoy,Alcosa,E2,6,6,2026-04-20,200,Planned
Cauliflower Sprouting,Song,E2,7,7,2026-04-20,200,Planned
Cauliflower Sprouting,Song,E2,8,8,2026-04-20,200,Planned
Arugula,Astro,B1,29,29,2026-04-27,100,Planned
Escarole,Eliance,B2,9,9,2026-04-27,200,Planned
Lettuce Head,Alkindus,B2,10,10,2026-04-27,50,Planned
Lettuce Mini Gem,Gatsbi,B2,10,10,2026-04-27,75,Planned
Lettuce Mini Gem,Rosaine,B2,10,10,2026-04-27,75,Planned
Lettuce Mix SN,(Spring/Fall) Prismatic + Butters,B2,11,11,2026-04-27,200,Planned
Celery,merengo,C3,6,6,2026-04-27,200,Planned
Cilantro,Cruiser,C3,7,7,2026-04-27,200,Planned
Scallion,Parade,C3,5,5,2026-04-27,100,Planned
Bok Choy,Li Ren Choi,D1,1,1,2026-04-27,200,Planned
Greens Mix Baby Kale,Red Russian Kale,D1,2,2,2026-04-27,15,Planned
Greens Mix Cheap Frills,Cheap Frills,D1,2,2,2026-04-27,85,Planned
Radish French Breakfast,French Breakfast,D1,2,2,2026-04-27,100,Planned
Radish Purple,Bacchus,D1,3,3,2026-04-27,100,Planned
Radish Red,Sora,D1,3,3,2026-04-27,100,Planned
Beets Golden,Yellow Sunrise,D2,1,1,2026-04-27,200,Planned
Beets Golden,Yellow Sunrise,D2,2,2,2026-04-27,200,Planned
Beets Red,Red Ace F1,D2,3,3,2026-04-27,200,Planned
Chard,Bright Lights,D3,9,9,2026-04-27,200,Planned
Chard,Bright Lights,D3,10,10,2026-04-27,200,Planned
Collards,Flash,D3,11,11,2026-04-27,200,Planned
Collards,Flash,D3,12,12,2026-04-27,200,Planned
Kale Curly,Winterbor,D3,13,13,2026-04-27,200,Planned
Kale Curly,Winterbor,D3,14,14,2026-04-27,200,Planned
Kale Lacinato,Ebony,D3,15,15,2026-04-27,200,Planned
Kale Lacinato,Ebony,D3,16,16,2026-04-27,200,Planned
Kale Lacinato,Ebony,D3,17,17,2026-04-27,200,Planned
Kale Lacinato,Ebony,D3,18,18,2026-04-27,200,Planned
Broccolini,Bella Verde,E2,9,9,2026-04-27,200,Planned
Broccolini,Bella Verde,E2,10,10,2026-04-27,200,Planned
Broccolini,Happy Rich,E2,11,11,2026-04-27,200,Planned
Broccolini,Happy Rich,E2,12,12,2026-04-27,200,Planned
Broccolini,Happy Rich,E2,13,13,2026-04-27,200,Planned
Cauliflower Sprouting,Song,E2,14,14,2026-04-27,200,Planned
Cauliflower Sprouting,Song,E2,15,15,2026-04-27,200,Planned
Cucumber,Corinto,HT5,3,3,2026-04-27,100,Planned
Cucumber Katrina,Katrina,HT5,1,1,2026-04-27,100,Planned
Cucumber Katrina,Katrina,HT5,2,2,2026-04-27,100,Planned
Cucumber Pickling,Excelsior,HT5,4,4,2026-04-27,100,Planned
Oats & Peas,Standard,A2,1,1,2026-05-04,200,Planned
Oats & Peas,Standard,A2,2,2,2026-05-04,200,Planned
Oats & Peas,Standard,A2,3,3,2026-05-04,200,Planned
Oats & Peas,Standard,A2,4,4,2026-05-04,200,Planned
Oats & Peas,Standard,A2,5,5,2026-05-04,200,Planned
Oats & Peas,Standard,A2,6,6,2026-05-04,200,Planned
Oats & Peas,Standard,A2,7,7,2026-05-04,200,Planned
Oats & Peas,Standard,A2,8,8,2026-05-04,200,Planned
Oats & Peas,Standard,A2,9,9,2026-05-04,200,Planned
Oats & Peas,Standard,A2,10,10,2026-05-04,200,Planned
Oats & Peas,Standard,A2,11,11,2026-05-04,200,Planned
Oats & Peas,Standard,A2,12,12,2026-05-04,200,Planned
Oats & Peas,Standard,A2,13,13,2026-05-04,200,Planned
Oats & Peas,Standard,A2,14,14,2026-05-04,200,Planned
Oats & Peas,Standard,A2,15,15,2026-05-04,200,Planned
Oats & Peas,Standard,A2,16,16,2026-05-04,200,Planned
Oats & Peas,Standard,A2,17,17,2026-05-04,200,Planned
Oats & Peas,Standard,A2,18,18,2026-05-04,200,Planned
Oats & Peas,Standard,A3,1,1,2026-05-04,200,Planned
Oats & Peas,Standard,A3,2,2,2026-05-04,200,Planned
Oats & Peas,Standard,A3,3,3,2026-05-04,200,Planned
Oats & Peas,Standard,A3,4,4,2026-05-04,200,Planned
Oats & Peas,Standard,A3,5,5,2026-05-04,200,Planned
Oats & Peas,Standard,A3,6,6,2026-05-04,200,Planned
Oats & Peas,Standard,A3,7,7,2026-05-04,200,Planned
Oats & Peas,Standard,A3,8,8,2026-05-04,200,Planned
Oats & Peas,Standard,A3,9,9,2026-05-04,200,Planned
Oats & Peas,Standard,A3,10,10,2026-05-04,200,Planned
Oats & Peas,Standard,A3,11,11,2026-05-04,200,Planned
Oats & Peas,Standard,A3,12,12,2026-05-04,200,Planned
Oats & Peas,Standard,A3,13,13,2026-05-04,200,Planned
Oats & Peas,Standard,A3,14,14,2026-05-04,200,Planned
Oats & Peas,Standard,A3,15,15,2026-05-04,200,Planned
Oats & Peas,Standard,A3,16,16,2026-05-04,200,Planned
Oats & Peas,Standard,A3,17,17,2026-05-04,200,Planned
Oats & Peas,Standard,A3,18,18,2026-05-04,200,Planned
Oats & Peas,Standard,A3,19,19,2026-05-04,200,Planned
Oats & Peas,Standard,A3,20,20,2026-05-04,200,Planned
Oats & Peas,Standard,A3,21,21,2026-05-04,200,Planned
Oats & Peas,Standard,A3,22,22,2026-05-04,200,Planned
Oats & Peas,Standard,A3,23,23,2026-05-04,200,Planned
Oats & Peas,Standard,A3,24,24,2026-05-04,200,Planned
Oats & Peas,Standard,A3,25,25,2026-05-04,200,Planned
Oats & Peas,Standard,A3,26,26,2026-05-04,200,Planned
Oats & Peas,Standard,A3,27,27,2026-05-04,200,Planned
Oats & Peas,Standard,A3,28,28,2026-05-04,200,Planned
Oats & Peas,Standard,A3,29,29,2026-05-04,200,Planned
Oats & Peas,Standard,A3,30,30,2026-05-04,200,Planned
Fennel,Orazio,B2,12,12,2026-05-04,200,Planned
Lettuce Mix SN,(Spring/Fall) Prismatic + Butters,B2,13,13,2026-05-04,200,Planned
Radicchio Round,Indigo,B2,14,14,2026-05-04,200,Planned
Radicchio Variegated,Giorgine,B2,15,15,2026-05-04,200,Planned
Oats & Peas,Standard,B3,1,1,2026-05-04,200,Planned
Oats & Peas,Standard,B3,2,2,2026-05-04,200,Planned
Oats & Peas,Standard,B3,3,3,2026-05-04,200,Planned
Oats & Peas,Standard,B3,4,4,2026-05-04,200,Planned
Oats & Peas,Standard,B3,5,5,2026-05-04,200,Planned
Oats & Peas,Standard,B3,6,6,2026-05-04,200,Planned
Oats & Peas,Standard,B3,7,7,2026-05-04,200,Planned
Oats & Peas,Standard,B3,8,8,2026-05-04,200,Planned
Oats & Peas,Standard,B3,9,9,2026-05-04,200,Planned
Oats & Peas,Standard,B3,10,10,2026-05-04,200,Planned
Oats & Peas,Standard,B3,11,11,2026-05-04,200,Planned
Oats & Peas,Standard,B3,12,12,2026-05-04,200,Planned
Oats & Peas,Standard,B3,13,13,2026-05-04,200,Planned
Oats & Peas,Standard,B3,14,14,2026-05-04,200,Planned
Oats & Peas,Standard,B3,15,15,2026-05-04,200,Planned
Oats & Peas,Standard,B3,16,16,2026-05-04,200,Planned
Oats & Peas,Standard,B3,17,17,2026-05-04,200,Planned
Oats & Peas,Standard,B3,18,18,2026-05-04,200,Planned
Oats & Peas,Standard,B3,19,19,2026-05-04,200,Planned
Oats & Peas,Standard,B3,20,20,2026-05-04,200,Planned
Oats & Peas,Standard,B3,21,21,2026-05-04,200,Planned
Oats & Peas,Standard,B3,22,22,2026-05-04,200,Planned
Oats & Peas,Standard,B3,23,23,2026-05-04,200,Planned
Oats & Peas,Standard,B3,24,24,2026-05-04,200,Planned
Oats & Peas,Standard,B3,25,25,2026-05-04,200,Planned
Oats & Peas,Standard,B3,26,26,2026-05-04,200,Planned
Oats & Peas,Standard,B3,27,27,2026-05-04,200,Planned
Oats & Peas,Standard,B3,28,28,2026-05-04,200,Planned
Oats & Peas,Standard,B3,29,29,2026-05-04,200,Planned
Oats & Peas,Standard,B3,30,30,2026-05-04,200,Planned
Oats & Peas,Standard,C1,19,19,2026-05-04,200,Planned
Oats & Peas,Standard,C1,20,20,2026-05-04,200,Planned
Oats & Peas,Standard,C1,21,21,2026-05-04,200,Planned
Oats & Peas,Standard,C1,22,22,2026-05-04,200,Planned
Oats & Peas,Standard,C1,23,23,2026-05-04,200,Planned
Oats & Peas,Standard,C1,24,24,2026-05-04,200,Planned
Oats & Peas,Standard,C1,25,25,2026-05-04,200,Planned
Oats & Peas,Standard,C1,26,26,2026-05-04,200,Planned
Oats & Peas,Standard,C1,27,27,2026-05-04,200,Planned
Oats & Peas,Standard,C1,28,28,2026-05-04,200,Planned
Oats & Peas,Standard,C1,29,29,2026-05-04,200,Planned
Oats & Peas,Standard,C1,30,30,2026-05-04,200,Planned
Zucchini Green,Noche,C1,11,11,2026-05-04,200,Planned
Zucchini Green,Noche,C1,12,12,2026-05-04,200,Planned
Zucchini Green,Noche,C1,13,13,2026-05-04,200,Planned
Zucchini Green,Noche,C1,14,14,2026-05-04,200,Planned
Zucchini Striped,Pantheon,C1,15,15,2026-05-04,200,Planned
Zucchini Yellow,Golden Glory,C1,16,16,2026-05-04,200,Planned
Zucchini Yellow,Golden Glory,C1,17,17,2026-05-04,200,Planned
Zucchini Yellow,Golden Glory,C1,18,18,2026-05-04,200,Planned
Oats & Peas,Standard,C2,15,15,2026-05-04,200,Planned
Oats & Peas,Standard,C2,16,16,2026-05-04,200,Planned
Oats & Peas,Standard,C2,17,17,2026-05-04,200,Planned
Oats & Peas,Standard,C2,18,18,2026-05-04,200,Planned
Oats & Peas,Standard,C2,19,19,2026-05-04,200,Planned
Oats & Peas,Standard,C2,20,20,2026-05-04,200,Planned
Oats & Peas,Standard,C2,21,21,2026-05-04,200,Planned
Oats & Peas,Standard,C2,22,22,2026-05-04,200,Planned
Oats & Peas,Standard,C2,23,23,2026-05-04,200,Planned
Oats & Peas,Standard,C2,24,24,2026-05-04,200,Planned
Oats & Peas,Standard,C2,25,25,2026-05-04,200,Planned
Oats & Peas,Standard,C2,26,26,2026-05-04,200,Planned
Oats & Peas,Standard,C2,27,27,2026-05-04,200,Planned
Oats & Peas,Standard,C2,28,28,2026-05-04,200,Planned
Oats & Peas,Standard,C2,29,29,2026-05-04,200,Planned
Oats & Peas,Standard,C2,30,30,2026-05-04,200,Planned
Buckwheat,Standard,C3,15,15,2026-05-04,200,Planned
Buckwheat,Standard,C3,16,16,2026-05-04,200,Planned
Buckwheat,Standard,C3,17,17,2026-05-04,200,Planned
Buckwheat,Standard,C3,18,18,2026-05-04,200,Planned
Buckwheat,Standard,C3,19,19,2026-05-04,200,Planned
Buckwheat,Standard,C3,20,20,2026-05-04,200,Planned
Buckwheat,Standard,C3,21,21,2026-05-04,200,Planned
Buckwheat,Standard,C3,22,22,2026-05-04,200,Planned
Buckwheat,Standard,C3,23,23,2026-05-04,200,Planned
Buckwheat,Standard,C3,24,24,2026-05-04,200,Planned
Buckwheat,Standard,C3,25,25,2026-05-04,200,Planned
Buckwheat,Standard,C3,26,26,2026-05-04,200,Planned
Buckwheat,Standard,C3,27,27,2026-05-04,200,Planned
Buckwheat,Standard,C3,28,28,2026-05-04,200,Planned
Buckwheat,Standard,C3,29,29,2026-05-04,200,Planned
Buckwheat,Standard,C3,30,30,2026-05-04,200,Planned
Parsley,Giant of Italy,C3,8,8,2026-05-04,200,Planned
Scallion,Parade,C3,5,5,2026-05-04,100,Planned
Arugula,Astro,D1,4,4,2026-05-04,100,Planned
Buckwheat,Standard,D1,15,15,2026-05-04,200,Planned
Buckwheat,Standard,D1,16,16,2026-05-04,200,Planned
Buckwheat,Standard,D1,17,17,2026-05-04,200,Planned
Buckwheat,Standard,D1,18,18,2026-05-04,200,Planned
Buckwheat,Standard,D1,19,19,2026-05-04,200,Planned
Buckwheat,Standard,D1,20,20,2026-05-04,200,Planned
Buckwheat,Standard,D1,21,21,2026-05-04,200,Planned
Buckwheat,Standard,D1,22,22,2026-05-04,200,Planned
Buckwheat,Standard,D1,23,23,2026-05-04,200,Planned
Buckwheat,Standard,D1,24,24,2026-05-04,200,Planned
Buckwheat,Standard,D1,25,25,2026-05-04,200,Planned
Buckwheat,Standard,D1,26,26,2026-05-04,200,Planned
Buckwheat,Standard,D1,27,27,2026-05-04,200,Planned
Buckwheat,Standard,D1,28,28,2026-05-04,200,Planned
Buckwheat,Standard,D1,29,29,2026-05-04,200,Planned
Buckwheat,Standard,D1,30,30,2026-05-04,200,Planned
Greens Mix Baby Kale,Red Russian Kale,D1,4,4,2026-05-04,15,Planned
Greens Mix Cheap Frills,Cheap Frills,D1,4,4,2026-05-04,85,Planned
Greens Mix Rosie,Rosie,D1,5,5,2026-05-04,100,Planned
Radish French Breakfast,French Breakfast,D1,5,5,2026-05-04,100,Planned
Radish Purple,Bacchus,D1,6,6,2026-05-04,100,Planned
Lettuce Mini Gem,Rosaine,CAT1,1,1,2024-09-09,100,Planned
Lettuce Mini Gem,Rosaine,CAT1,2,2,2024-09-09,100,Planned
Lettuce Mini Gem,Rosaine,CAT1,3,3,2024-09-16,100,Planned
Radish Red,Sora,D1,6,6,2026-05-04,100,Planned
Buckwheat,Standard,D2,7,7,2026-05-04,200,Planned
Buckwheat,Standard,D2,8,8,2026-05-04,200,Planned
Scallion,Parade,CAT2,3,3,2024-09-02,100,Planned
Scallion,Parade,CAT2,2,2,2024-09-23,100,Planned
Scallion,Parade,CAT2,1,1,2024-10-14,100,Planned
Buckwheat,Standard,D2,9,9,2026-05-04,200,Planned
Buckwheat,Standard,D2,10,10,2026-05-04,200,Planned
Buckwheat,Standard,D2,11,11,2026-05-04,200,Planned
Buckwheat,Standard,D2,12,12,2026-05-04,200,Planned
Buckwheat,Standard,D2,13,13,2026-05-04,200,Planned
Buckwheat,Standard,D2,14,14,2026-05-04,200,Planned
Buckwheat,Standard,D2,15,15,2026-05-04,200,Planned
Buckwheat,Standard,D2,16,16,2026-05-04,200,Planned
Dandelion,Clio,CAT4,1,1,2024-09-16,100,Planned
Dandelion,Clio,CAT4,2,2,2024-09-16,100,Planned
Buckwheat,Standard,D2,17,17,2026-05-04,200,Planned
Buckwheat,Standard,D2,18,18,2026-05-04,200,Planned
Buckwheat,Standard,D2,19,19,2026-05-04,200,Planned
Buckwheat,Standard,D2,20,20,2026-05-04,200,Planned
Buckwheat,Standard,D2,21,21,2026-05-04,200,Planned
Buckwheat,Standard,D2,22,22,2026-05-04,200,Planned
Buckwheat,Standard,D2,23,23,2026-05-04,200,Planned
Buckwheat,Standard,D2,24,24,2026-05-04,200,Planned
Buckwheat,Standard,D2,25,25,2026-05-04,200,Planned
Buckwheat,Standard,D2,26,26,2026-05-04,200,Planned
Buckwheat,Standard,D2,27,27,2026-05-04,200,Planned
Buckwheat,Standard,D2,28,28,2026-05-04,200,Planned
Buckwheat,Standard,D2,29,29,2026-05-04,200,Planned
Buckwheat,Standard,D2,30,30,2026-05-04,200,Planned
Buckwheat,Standard,E1,1,1,2026-05-04,200,Planned
Buckwheat,Standard,E1,2,2,2026-05-04,200,Planned
Buckwheat,Standard,E1,3,3,2026-05-04,200,Planned
Buckwheat,Standard,E1,4,4,2026-05-04,200,Planned
Buckwheat,Standard,E1,5,5,2026-05-04,200,Planned
Buckwheat,Standard,E1,6,6,2026-05-04,200,Planned
Buckwheat,Standard,E1,7,7,2026-05-04,200,Planned
Buckwheat,Standard,E1,8,8,2026-05-04,200,Planned
Buckwheat,Standard,E1,9,9,2026-05-04,200,Planned
Buckwheat,Standard,E1,10,10,2026-05-04,200,Planned
Buckwheat,Standard,E1,11,11,2026-05-04,200,Planned
Buckwheat,Standard,E1,12,12,2026-05-04,200,Planned
Buckwheat,Standard,E1,13,13,2026-05-04,200,Planned
Buckwheat,Standard,E1,14,14,2026-05-04,200,Planned
Buckwheat,Standard,E1,15,15,2026-05-04,200,Planned
Buckwheat,Standard,E1,16,16,2026-05-04,200,Planned
Buckwheat,Standard,E1,17,17,2026-05-04,200,Planned
Buckwheat,Standard,E1,18,18,2026-05-04,200,Planned
Buckwheat,Standard,E1,19,19,2026-05-04,200,Planned
Buckwheat,Standard,E1,20,20,2026-05-04,200,Planned
Buckwheat,Standard,E1,21,21,2026-05-04,200,Planned
Buckwheat,Standard,E1,22,22,2026-05-04,200,Planned
Buckwheat,Standard,E1,23,23,2026-05-04,200,Planned
Buckwheat,Standard,E1,24,24,2026-05-04,200,Planned
Buckwheat,Standard,E1,25,25,2026-05-04,200,Planned
Cabbage Cone,Caraflex,E2,16,16,2026-05-04,200,Planned
Cabbage Cone,Caraflex,E2,17,17,2026-05-04,200,Planned
Cabbage Cone,Caraflex,E2,18,18,2026-05-04,200,Planned
Triticale & Winter Peas,Standard,C2,1,1,2026-10-26,200,Planned
Cabbage Red,Omero,E2,19,19,2026-05-04,200,Planned
Triticale & Winter Peas,Standard,C2,2,2,2026-10-26,200,Planned
Cabbage Red,Omero,E2,20,20,2026-05-04,200,Planned
Triticale & Winter Peas,Standard,C2,3,3,2026-10-26,200,Planned
Tomato Cherry Mix,Artemis,HT3,7,7,2026-05-04,25,Planned
Triticale & Winter Peas,Standard,C2,4,4,2026-10-26,200,Planned
Tomato Cherry Mix,Attracta,HT3,7,7,2026-05-04,25,Planned
Triticale & Winter Peas,Standard,C2,5,5,2026-10-26,200,Planned
Tomato Cherry Mix,Chocolate Sprinkles,HT3,8,8,2026-05-04,50,Planned
Triticale & Winter Peas,Standard,C2,6,6,2026-10-26,200,Planned
Tomato Cherry Mix,Honey Bee,HT3,8,8,2026-05-04,50,Planned
Triticale & Winter Peas,Standard,C2,7,7,2026-10-26,200,Planned
Tomato Cherry Mix,Mimi,HT3,7,7,2026-05-04,50,Planned
Triticale & Winter Peas,Standard,C2,8,8,2026-10-26,200,Planned
Tomato Cherry Mix,SunGreen,HT3,6,6,2026-05-04,50,Planned
Triticale & Winter Peas,Standard,C2,9,9,2026-10-26,200,Planned
Tomato Cherry Mix,Sunpeach,HT3,6,6,2026-05-04,50,Planned
Tomato Cherry Sungold,SunOrange,HT3,3,3,2026-05-04,100,Planned
Triticale & Winter Peas,Standard,C2,10,10,2026-10-26,200,Planned
Tomato Cherry Sungold,SunOrange,HT3,4,4,2026-05-04,100,Planned
Triticale & Winter Peas,Standard,C2,11,11,2026-10-26,200,Planned
Triticale & Winter Peas,Standard,C2,12,12,2026-10-26,200,Planned
Tomato Cherry Sungold,SunOrange,HT3,5,5,2026-05-04,100,Planned
Triticale & Winter Peas,Standard,C2,13,13,2026-10-26,200,Planned
Triticale & Winter Peas,Standard,C2,14,14,2026-10-26,200,Planned
Tomato Heirloom,MarMango,HT3,1,1,2026-05-04,100,Planned
Tomato Heirloom,Marnouar,HT3,2,2,2026-05-04,100,Planned
Bean Snap TP,Nor'easter,HT4,6,6,2026-05-04,100,Planned
Bean Snap TP,Nor'easter,HT4,8,8,2026-05-04,100,Planned
Cabbage Red,Omero,X1,1,1,2026-05-04,200,Planned
Cabbage Red,Omero,X1,2,2,2026-05-04,200,Planned
Cabbage Red,Omero,X1,3,3,2026-05-04,200,Planned
Cabbage Savoy,Alcosa,X1,4,4,2026-05-04,200,Planned
Oats & Peas,Standard,X1,7,7,2026-05-04,200,Planned
Oats & Peas,Standard,X1,8,8,2026-05-04,200,Planned
Oats & Peas,Standard,X1,9,9,2026-05-04,200,Planned
Oats & Peas,Standard,X1,10,10,2026-05-04,200,Planned
Oats & Peas,Standard,X1,11,11,2026-05-04,200,Planned
Oats & Peas,Standard,X1,12,12,2026-05-04,200,Planned
Oats & Peas,Standard,X1,13,13,2026-05-04,200,Planned
Oats & Peas,Standard,X1,14,14,2026-05-04,200,Planned
Oats & Peas,Standard,X1,15,15,2026-05-04,200,Planned
Oats & Peas,Standard,X1,16,16,2026-05-04,200,Planned
Oats & Peas,Standard,X1,17,17,2026-05-04,200,Planned
Oats & Peas,Standard,X1,18,18,2026-05-04,200,Planned
Oats & Peas,Standard,X1,19,19,2026-05-04,200,Planned
Oats & Peas,Standard,X1,20,20,2026-05-04,200,Planned
Oats & Peas,Standard,X1,21,21,2026-05-04,200,Planned
Oats & Peas,Standard,X1,22,22,2026-05-04,200,Planned
Oats & Peas,Standard,X1,23,23,2026-05-04,200,Planned
Oats & Peas,Standard,X1,24,24,2026-05-04,200,Planned
Oats & Peas,Standard,X1,25,25,2026-05-04,200,Planned
Oats & Peas,Standard,X1,26,26,2026-05-04,200,Planned
Oats & Peas,Standard,X1,27,27,2026-05-04,200,Planned
Oats & Peas,Standard,X1,28,28,2026-05-04,200,Planned
Oats & Peas,Standard,X1,29,29,2026-05-04,200,Planned
Oats & Peas,Standard,X1,30,30,2026-05-04,200,Planned
Oats & Peas,Standard,X2,1,1,2026-05-04,200,Planned
Oats & Peas,Standard,X2,2,2,2026-05-04,200,Planned
Oats & Peas,Standard,X2,3,3,2026-05-04,200,Planned
Oats & Peas,Standard,X2,4,4,2026-05-04,200,Planned
Oats & Peas,Standard,X2,5,5,2026-05-04,200,Planned
